file, #v, #c, #l
r75k3q0.6c8/28.4.cnf, 75, 28, 84
r75k3q0.6c8/51.2.cnf, 75, 51, 153
r75k3q0.6c8/38.2.cnf, 75, 38, 114
r75k3q0.6c8/136.2.cnf, 75, 136, 408
r75k3q0.6c8/59.5.cnf, 75, 59, 177
r75k3q0.6c8/69.3.cnf, 75, 69, 207
r75k3q0.6c8/108.3.cnf, 75, 108, 324
r75k3q0.6c8/79.1.cnf, 75, 79, 237
r75k3q0.6c8/19.2.cnf, 75, 19, 57
r75k3q0.6c8/276.1.cnf, 75, 276, 828
r75k3q0.6c8/277.5.cnf, 75, 277, 831
r75k3q0.6c8/181.3.cnf, 75, 181, 543
r75k3q0.6c8/107.1.cnf, 75, 107, 321
r75k3q0.6c8/259.5.cnf, 75, 259, 777
r75k3q0.6c8/185.3.cnf, 75, 185, 555
r75k3q0.6c8/119.1.cnf, 75, 119, 357
r75k3q0.6c8/266.4.cnf, 75, 266, 798
r75k3q0.6c8/307.5.cnf, 75, 307, 921
r75k3q0.6c8/247.3.cnf, 75, 247, 741
r75k3q0.6c8/93.4.cnf, 75, 93, 279
r75k3q0.6c8/33.5.cnf, 75, 33, 99
r75k3q0.6c8/43.3.cnf, 75, 43, 129
r75k3q0.6c8/163.3.cnf, 75, 163, 489
r75k3q0.6c8/231.3.cnf, 75, 231, 693
r75k3q0.6c8/168.2.cnf, 75, 168, 504
r75k3q0.6c8/74.4.cnf, 75, 74, 222
r75k3q0.6c8/117.2.cnf, 75, 117, 351
r75k3q0.6c8/242.3.cnf, 75, 242, 726
r75k3q0.6c8/84.2.cnf, 75, 84, 252
r75k3q0.6c8/218.1.cnf, 75, 218, 654
r75k3q0.6c8/259.2.cnf, 75, 259, 777
r75k3q0.6c8/173.4.cnf, 75, 173, 519
r75k3q0.6c8/150.1.cnf, 75, 150, 450
r75k3q0.6c8/14.5.cnf, 75, 14, 42
r75k3q0.6c8/135.5.cnf, 75, 135, 405
r75k3q0.6c8/292.4.cnf, 75, 292, 876
r75k3q0.6c8/24.3.cnf, 75, 24, 72
r75k3q0.6c8/212.4.cnf, 75, 212, 636
r75k3q0.6c8/175.5.cnf, 75, 175, 525
r75k3q0.6c8/34.1.cnf, 75, 34, 102
r75k3q0.6c8/119.2.cnf, 75, 119, 357
r75k3q0.6c8/102.2.cnf, 75, 102, 306
r75k3q0.6c8/55.4.cnf, 75, 55, 165
r75k3q0.6c8/200.3.cnf, 75, 200, 600
r75k3q0.6c8/65.2.cnf, 75, 65, 195
r75k3q0.6c8/149.5.cnf, 75, 149, 447
r75k3q0.6c8/15.1.cnf, 75, 15, 45
r75k3q0.6c8/245.3.cnf, 75, 245, 735
r75k3q0.6c8/180.3.cnf, 75, 180, 540
r75k3q0.6c8/256.1.cnf, 75, 256, 768
r75k3q0.6c8/171.1.cnf, 75, 171, 513
r75k3q0.6c8/305.5.cnf, 75, 305, 915
r75k3q0.6c8/267.2.cnf, 75, 267, 801
r75k3q0.6c8/126.5.cnf, 75, 126, 378
r75k3q0.6c8/259.3.cnf, 75, 259, 777
r75k3q0.6c8/265.5.cnf, 75, 265, 795
r75k3q0.6c8/199.5.cnf, 75, 199, 597
r75k3q0.6c8/177.2.cnf, 75, 177, 531
r75k3q0.6c8/102.4.cnf, 75, 102, 306
r75k3q0.6c8/262.1.cnf, 75, 262, 786
r75k3q0.6c8/60.5.cnf, 75, 60, 180
r75k3q0.6c8/47.5.cnf, 75, 47, 141
r75k3q0.6c8/204.4.cnf, 75, 204, 612
r75k3q0.6c8/70.3.cnf, 75, 70, 210
