file,#v,#c,#l
r50k6/50.455.0.cnf, 50, 455, 2730
r50k6/50.57.0.cnf, 50, 57, 342
r50k6/50.142.2.cnf, 50, 142, 852
r50k6/50.338.1.cnf, 50, 338, 2028
r50k6/50.37.2.cnf, 50, 37, 222
r50k6/50.1356.0.cnf, 50, 1356, 8136
r50k6/50.629.2.cnf, 50, 629, 3774
r50k6/50.704.1.cnf, 50, 704, 4224
r50k6/50.584.0.cnf, 50, 584, 3504
r50k6/50.1816.1.cnf, 50, 1816, 10896
r50k6/50.494.2.cnf, 50, 494, 2964
r50k6/50.1861.0.cnf, 50, 1861, 11166
r50k6/50.357.0.cnf, 50, 357, 2142
r50k6/50.1680.2.cnf, 50, 1680, 10080
r50k6/50.1867.2.cnf, 50, 1867, 11202
r50k6/50.1251.0.cnf, 50, 1251, 7506
r50k6/50.1315.2.cnf, 50, 1315, 7890
r50k6/50.44.1.cnf, 50, 44, 264
r50k6/50.295.2.cnf, 50, 295, 1770
r50k6/50.1993.2.cnf, 50, 1993, 11958
r50k6/50.1178.0.cnf, 50, 1178, 7068
r50k6/50.1057.0.cnf, 50, 1057, 6342
r50k6/50.599.2.cnf, 50, 599, 3594
r50k6/50.1050.1.cnf, 50, 1050, 6300
r50k6/50.306.1.cnf, 50, 306, 1836
r50k6/50.1496.0.cnf, 50, 1496, 8976
r50k6/50.1699.0.cnf, 50, 1699, 10194
r50k6/50.401.0.cnf, 50, 401, 2406
r50k6/50.2124.1.cnf, 50, 2124, 12744
r50k6/50.1996.1.cnf, 50, 1996, 11976
r50k6/50.1278.1.cnf, 50, 1278, 7668
r50k6/50.1015.1.cnf, 50, 1015, 6090
r50k6/50.278.0.cnf, 50, 278, 1668
r50k6/50.1772.2.cnf, 50, 1772, 10632
r50k6/50.332.1.cnf, 50, 332, 1992
r50k6/50.1889.2.cnf, 50, 1889, 11334
r50k6/50.1782.2.cnf, 50, 1782, 10692
r50k6/50.875.2.cnf, 50, 875, 5250
r50k6/50.213.1.cnf, 50, 213, 1278
r50k6/50.548.1.cnf, 50, 548, 3288
r50k6/50.1064.0.cnf, 50, 1064, 6384
r50k6/50.1513.2.cnf, 50, 1513, 9078
r50k6/50.258.1.cnf, 50, 258, 1548
r50k6/50.1197.0.cnf, 50, 1197, 7182
r50k6/50.1244.2.cnf, 50, 1244, 7464
r50k6/50.2079.1.cnf, 50, 2079, 12474
r50k6/50.415.1.cnf, 50, 415, 2490
r50k6/50.1569.1.cnf, 50, 1569, 9414
r50k6/50.2113.2.cnf, 50, 2113, 12678
r50k6/50.97.2.cnf, 50, 97, 582
r50k6/50.1568.1.cnf, 50, 1568, 9408
r50k6/50.462.0.cnf, 50, 462, 2772
r50k6/50.233.2.cnf, 50, 233, 1398
r50k6/50.1899.1.cnf, 50, 1899, 11394
r50k6/50.140.1.cnf, 50, 140, 840
r50k6/50.1627.1.cnf, 50, 1627, 9762
r50k6/50.1253.0.cnf, 50, 1253, 7518
r50k6/50.356.0.cnf, 50, 356, 2136
r50k6/50.1914.0.cnf, 50, 1914, 11484
r50k6/50.751.1.cnf, 50, 751, 4506
r50k6/50.72.2.cnf, 50, 72, 432
r50k6/50.876.0.cnf, 50, 876, 5256
r50k6/50.1306.1.cnf, 50, 1306, 7836
r50k6/50.794.2.cnf, 50, 794, 4764
r50k6/50.1598.0.cnf, 50, 1598, 9588
r50k6/50.1668.0.cnf, 50, 1668, 10008
r50k6/50.347.1.cnf, 50, 347, 2082
r50k6/50.2301.0.cnf, 50, 2301, 13806
r50k6/50.1972.1.cnf, 50, 1972, 11832
r50k6/50.1910.1.cnf, 50, 1910, 11460
r50k6/50.165.2.cnf, 50, 165, 990
r50k6/50.1930.1.cnf, 50, 1930, 11580
r50k6/50.831.1.cnf, 50, 831, 4986
r50k6/50.936.2.cnf, 50, 936, 5616
r50k6/50.262.0.cnf, 50, 262, 1572
r50k6/50.1309.1.cnf, 50, 1309, 7854
r50k6/50.1345.1.cnf, 50, 1345, 8070
r50k6/50.505.0.cnf, 50, 505, 3030
r50k6/50.2033.1.cnf, 50, 2033, 12198
r50k6/50.1565.2.cnf, 50, 1565, 9390
r50k6/50.1013.0.cnf, 50, 1013, 6078
r50k6/50.1255.2.cnf, 50, 1255, 7530
r50k6/50.1704.2.cnf, 50, 1704, 10224
r50k6/50.1249.0.cnf, 50, 1249, 7494
r50k6/50.883.0.cnf, 50, 883, 5298
r50k6/50.570.0.cnf, 50, 570, 3420
r50k6/50.1729.2.cnf, 50, 1729, 10374
r50k6/50.1784.1.cnf, 50, 1784, 10704
r50k6/50.64.2.cnf, 50, 64, 384
r50k6/50.1203.0.cnf, 50, 1203, 7218
r50k6/50.1968.2.cnf, 50, 1968, 11808
r50k6/50.1749.2.cnf, 50, 1749, 10494
r50k6/50.795.0.cnf, 50, 795, 4770
r50k6/50.135.0.cnf, 50, 135, 810
r50k6/50.1521.0.cnf, 50, 1521, 9126
r50k6/50.636.0.cnf, 50, 636, 3816
r50k6/50.2046.1.cnf, 50, 2046, 12276
r50k6/50.614.0.cnf, 50, 614, 3684
r50k6/50.1219.0.cnf, 50, 1219, 7314
r50k6/50.253.2.cnf, 50, 253, 1518
r50k6/50.21.0.cnf, 50, 21, 126
r50k6/50.1801.1.cnf, 50, 1801, 10806
r50k6/50.1503.0.cnf, 50, 1503, 9018
r50k6/50.1442.1.cnf, 50, 1442, 8652
r50k6/50.393.1.cnf, 50, 393, 2358
r50k6/50.189.1.cnf, 50, 189, 1134
r50k6/50.206.1.cnf, 50, 206, 1236
r50k6/50.1391.1.cnf, 50, 1391, 8346
r50k6/50.406.1.cnf, 50, 406, 2436
r50k6/50.545.2.cnf, 50, 545, 3270
r50k6/50.1550.2.cnf, 50, 1550, 9300
r50k6/50.196.1.cnf, 50, 196, 1176
r50k6/50.1859.0.cnf, 50, 1859, 11154
r50k6/50.417.0.cnf, 50, 417, 2502
r50k6/50.752.1.cnf, 50, 752, 4512
r50k6/50.1924.1.cnf, 50, 1924, 11544
r50k6/50.1740.2.cnf, 50, 1740, 10440
r50k6/50.1127.0.cnf, 50, 1127, 6762
r50k6/50.886.1.cnf, 50, 886, 5316
r50k6/50.1903.2.cnf, 50, 1903, 11418
r50k6/50.1838.1.cnf, 50, 1838, 11028
r50k6/50.673.1.cnf, 50, 673, 4038
r50k6/50.1694.1.cnf, 50, 1694, 10164
r50k6/50.1522.0.cnf, 50, 1522, 9132
r50k6/50.1648.0.cnf, 50, 1648, 9888
r50k6/50.1177.2.cnf, 50, 1177, 7062
r50k6/50.190.2.cnf, 50, 190, 1140
r50k6/50.2022.0.cnf, 50, 2022, 12132
r50k6/50.2023.1.cnf, 50, 2023, 12138
r50k6/50.2192.2.cnf, 50, 2192, 13152
r50k6/50.186.1.cnf, 50, 186, 1116
r50k6/50.1282.2.cnf, 50, 1282, 7692
r50k6/50.2140.0.cnf, 50, 2140, 12840
r50k6/50.834.0.cnf, 50, 834, 5004
r50k6/50.2061.1.cnf, 50, 2061, 12366
r50k6/50.2137.2.cnf, 50, 2137, 12822
r50k6/50.442.2.cnf, 50, 442, 2652
r50k6/50.1210.1.cnf, 50, 1210, 7260
r50k6/50.1955.0.cnf, 50, 1955, 11730
r50k6/50.1834.0.cnf, 50, 1834, 11004
r50k6/50.780.0.cnf, 50, 780, 4680
r50k6/50.309.1.cnf, 50, 309, 1854
r50k6/50.1686.2.cnf, 50, 1686, 10116
r50k6/50.1725.0.cnf, 50, 1725, 10350
r50k6/50.1815.1.cnf, 50, 1815, 10890
r50k6/50.1571.1.cnf, 50, 1571, 9426
r50k6/50.1010.0.cnf, 50, 1010, 6060
r50k6/50.1310.2.cnf, 50, 1310, 7860
r50k6/50.655.1.cnf, 50, 655, 3930
r50k6/50.289.2.cnf, 50, 289, 1734
r50k6/50.1202.0.cnf, 50, 1202, 7212
r50k6/50.1890.1.cnf, 50, 1890, 11340
r50k6/50.930.1.cnf, 50, 930, 5580
r50k6/50.860.2.cnf, 50, 860, 5160
r50k6/50.1263.1.cnf, 50, 1263, 7578
r50k6/50.1622.2.cnf, 50, 1622, 9732
r50k6/50.1226.1.cnf, 50, 1226, 7356
r50k6/50.1493.0.cnf, 50, 1493, 8958
r50k6/50.45.1.cnf, 50, 45, 270
