file, #v, #c, #l
rand100_q0.4/28.4.cnf, 100, 28, 84
rand100_q0.4/280.16.cnf, 100, 280, 840
rand100_q0.4/282.15.cnf, 100, 282, 846
rand100_q0.4/30.17.cnf, 100, 30, 90
rand100_q0.4/230.19.cnf, 100, 230, 690
rand100_q0.4/99.12.cnf, 100, 99, 297
rand100_q0.4/282.6.cnf, 100, 282, 846
rand100_q0.4/51.2.cnf, 100, 51, 153
rand100_q0.4/217.17.cnf, 100, 217, 651
rand100_q0.4/38.2.cnf, 100, 38, 114
rand100_q0.4/385.5.cnf, 100, 385, 1155
rand100_q0.4/111.12.cnf, 100, 111, 333
rand100_q0.4/429.19.cnf, 100, 429, 1287
rand100_q0.4/393.6.cnf, 100, 393, 1179
rand100_q0.4/157.10.cnf, 100, 157, 471
rand100_q0.4/337.11.cnf, 100, 337, 1011
rand100_q0.4/136.2.cnf, 100, 136, 408
rand100_q0.4/183.8.cnf, 100, 183, 549
rand100_q0.4/284.12.cnf, 100, 284, 852
rand100_q0.4/49.7.cnf, 100, 49, 147
rand100_q0.4/213.19.cnf, 100, 213, 639
rand100_q0.4/336.15.cnf, 100, 336, 1008
rand100_q0.4/135.8.cnf, 100, 135, 405
rand100_q0.4/241.16.cnf, 100, 241, 723
rand100_q0.4/191.11.cnf, 100, 191, 573
rand100_q0.4/345.13.cnf, 100, 345, 1035
rand100_q0.4/59.5.cnf, 100, 59, 177
rand100_q0.4/10.10.cnf, 100, 10, 30
rand100_q0.4/183.15.cnf, 100, 183, 549
rand100_q0.4/289.8.cnf, 100, 289, 867
rand100_q0.4/226.18.cnf, 100, 226, 678
rand100_q0.4/170.16.cnf, 100, 170, 510
rand100_q0.4/69.3.cnf, 100, 69, 207
rand100_q0.4/289.20.cnf, 100, 289, 867
rand100_q0.4/46.12.cnf, 100, 46, 138
rand100_q0.4/108.3.cnf, 100, 108, 324
rand100_q0.4/79.1.cnf, 100, 79, 237
rand100_q0.4/127.6.cnf, 100, 127, 381
rand100_q0.4/402.19.cnf, 100, 402, 1206
rand100_q0.4/24.20.cnf, 100, 24, 72
rand100_q0.4/289.11.cnf, 100, 289, 867
rand100_q0.4/152.19.cnf, 100, 152, 456
rand100_q0.4/316.8.cnf, 100, 316, 948
rand100_q0.4/412.6.cnf, 100, 412, 1236
rand100_q0.4/30.16.cnf, 100, 30, 90
rand100_q0.4/144.8.cnf, 100, 144, 432
rand100_q0.4/428.9.cnf, 100, 428, 1284
rand100_q0.4/142.11.cnf, 100, 142, 426
rand100_q0.4/359.1.cnf, 100, 359, 1077
rand100_q0.4/299.4.cnf, 100, 299, 897
rand100_q0.4/350.12.cnf, 100, 350, 1050
rand100_q0.4/141.13.cnf, 100, 141, 423
rand100_q0.4/397.11.cnf, 100, 397, 1191
rand100_q0.4/280.4.cnf, 100, 280, 840
rand100_q0.4/304.11.cnf, 100, 304, 912
rand100_q0.4/315.5.cnf, 100, 315, 945
rand100_q0.4/19.2.cnf, 100, 19, 57
rand100_q0.4/276.1.cnf, 100, 276, 828
rand100_q0.4/41.14.cnf, 100, 41, 123
rand100_q0.4/323.20.cnf, 100, 323, 969
rand100_q0.4/16.18.cnf, 100, 16, 48
rand100_q0.4/395.9.cnf, 100, 395, 1185
rand100_q0.4/410.5.cnf, 100, 410, 1230
rand100_q0.4/295.16.cnf, 100, 295, 885
rand100_q0.4/326.20.cnf, 100, 326, 978
rand100_q0.4/327.12.cnf, 100, 327, 981
rand100_q0.4/54.13.cnf, 100, 54, 162
rand100_q0.4/277.6.cnf, 100, 277, 831
rand100_q0.4/347.18.cnf, 100, 347, 1041
rand100_q0.4/394.14.cnf, 100, 394, 1182
rand100_q0.4/267.6.cnf, 100, 267, 801
rand100_q0.4/344.16.cnf, 100, 344, 1032
rand100_q0.4/132.13.cnf, 100, 132, 396
rand100_q0.4/277.5.cnf, 100, 277, 831
rand100_q0.4/362.5.cnf, 100, 362, 1086
rand100_q0.4/67.16.cnf, 100, 67, 201
rand100_q0.4/181.3.cnf, 100, 181, 543
rand100_q0.4/273.16.cnf, 100, 273, 819
rand100_q0.4/125.19.cnf, 100, 125, 375
rand100_q0.4/358.19.cnf, 100, 358, 1074
rand100_q0.4/82.13.cnf, 100, 82, 246
rand100_q0.4/178.14.cnf, 100, 178, 534
rand100_q0.4/404.17.cnf, 100, 404, 1212
