file, #v, #c, #l
cnf/plazar/Blasted_Real/blasted_case123.cnf, 267, 980, 2798
cnf/plazar/Blasted_Real/blasted_case33.cnf, 51, 143, 391
cnf/plazar/Blasted_Real/blasted_squaring26.cnf, 894, 3187, 8885
cnf/plazar/Blasted_Real/blasted_case41.cnf, 245, 650, 1782
cnf/plazar/Blasted_Real/blasted_case_1_b12_even1.cnf, 2681, 8492, 22143
cnf/plazar/Blasted_Real/blasted_case119.cnf, 267, 787, 2173
cnf/plazar/Blasted_Real/blasted_TR_b14_2_linear.cnf, 1570, 4963, 13517
cnf/plazar/Blasted_Real/blasted_case144.cnf, 765, 2340, 6460
cnf/plazar/Blasted_Real/blasted_case44.cnf, 173, 651, 1871
cnf/plazar/Blasted_Real/blasted_case46.cnf, 176, 660, 1892
cnf/plazar/Blasted_Real/blasted_case134.cnf, 60, 146, 402
cnf/plazar/Blasted_Real/blasted_case100.cnf, 72, 178, 490
cnf/plazar/Blasted_Real/blasted_case23.cnf, 77, 235, 654
cnf/plazar/Blasted_Real/blasted_squaring11.cnf, 966, 3213, 8725
cnf/plazar/Blasted_Real/blasted_squaring60.cnf, 5186, 16134, 42366
cnf/plazar/Blasted_Real/blasted_case59.cnf, 93, 285, 815
cnf/plazar/Blasted_Real/blasted_case39.cnf, 245, 650, 1782
cnf/plazar/Blasted_Real/blasted_TR_b14_even_linear.cnf, 8809, 28200, 74475
cnf/plazar/Blasted_Real/blasted_case_1_b11_1.cnf, 340, 1026, 2784
cnf/plazar/Blasted_Real/blasted_case29.cnf, 65, 190, 526
cnf/plazar/Blasted_Real/blasted_case_0_b12_even1.cnf, 2681, 8492, 22143
cnf/plazar/Blasted_Real/blasted_squaring40.cnf, 4173, 13539, 36457
cnf/plazar/Blasted_Real/blasted_case211.cnf, 869, 2929, 7895
cnf/plazar/Blasted_Real/blasted_case_3_b14_1.cnf, 238, 681, 1810
cnf/plazar/Blasted_Real/blasted_squaring41.cnf, 4185, 13599, 36637
cnf/plazar/Blasted_Real/blasted_case8.cnf, 160, 525, 1483
cnf/plazar/Blasted_Real/blasted_case214.cnf, 645, 1883, 4789
cnf/plazar/Blasted_Real/blasted_case47.cnf, 118, 328, 890
cnf/plazar/Blasted_Real/blasted_squaring21.cnf, 697, 2203, 5933
cnf/plazar/Blasted_Real/blasted_case_2_ptb_2.cnf, 2848, 9498, 25245
cnf/plazar/Blasted_Real/blasted_case_1_ptb_1.cnf, 966, 3035, 7989
cnf/plazar/Blasted_Real/blasted_case35.cnf, 400, 1414, 4002
cnf/plazar/Blasted_Real/blasted_case210.cnf, 872, 2937, 7914
cnf/plazar/Blasted_Real/blasted_case52.cnf, 132, 395, 1041
cnf/plazar/Blasted_Real/blasted_case139.cnf, 846, 2163, 5751
cnf/plazar/Blasted_Real/blasted_case49.cnf, 1510, 6505, 18951
cnf/plazar/Blasted_Real/blasted_case_1_ptb_2.cnf, 2851, 9506, 25264
