file, q, comms
Benchmarks/Blasted_Real/blasted_case200.cnf, 0.220332, 3
Benchmarks/Blasted_Real/blasted_case206.cnf, 0.220332, 3
Benchmarks/Blasted_Real/blasted_case60.cnf, 0.39603, 3
Benchmarks/V15/s27_new_15_7.cnf, 0.344927, 3
Benchmarks/V3/s27_new_3_2.cnf, 0.344927, 3
Benchmarks/V7/s27_new_7_4.cnf, 0.344927, 3
Benchmarks/V3/s27_3_2.cnf, 0.408333, 5
Benchmarks/V7/s27_7_4.cnf, 0.408333, 5
Benchmarks/Blasted_Real/blasted_case103.cnf, 0.412834, 6
Benchmarks/V15/s27_15_7.cnf, 0.408333, 5
Benchmarks/Blasted_Real/blasted_case102.cnf, 0.412834, 6
Benchmarks/Blasted_Real/blasted_case127.cnf, 0.421337, 6
Benchmarks/Blasted_Real/blasted_case128.cnf, 0.421337, 6
Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 0.499605, 5
Benchmarks/Blasted_Real/blasted_case28.cnf, 0.458248, 10
Benchmarks/Blasted_Real/blasted_case33.cnf, 0.458248, 10
Benchmarks/Blasted_Real/blasted_case27.cnf, 0.458248, 10
Benchmarks/Blasted_Real/blasted_case32.cnf, 0.458248, 10
Benchmarks/Blasted_Real/blasted_case26.cnf, 0.458248, 10
Benchmarks/Blasted_Real/blasted_case31.cnf, 0.458248, 10
Benchmarks/Blasted_Real/blasted_case134.cnf, 0.663111, 14
Benchmarks/Blasted_Real/blasted_case137.cnf, 0.663111, 14
Benchmarks/Blasted_Real/blasted_case36.cnf, 0.513883, 15
Benchmarks/Blasted_Real/blasted_case24.cnf, 0.451061, 13
Benchmarks/Blasted_Real/blasted_case29.cnf, 0.451061, 13
Benchmarks/tutorial1.sk_1_1.cnf, 0, 0
Benchmarks/Blasted_Real/blasted_case25.cnf, 0.459983, 14
Benchmarks/Blasted_Real/blasted_case30.cnf, 0.459983, 14
Benchmarks/Blasted_Real/blasted_case100.cnf, 0.644362, 16
Benchmarks/Blasted_Real/blasted_case101.cnf, 0.644362, 16
Benchmarks/Blasted_Real/blasted_case17.cnf, 0.517974, 14
Benchmarks/Blasted_Real/blasted_case23.cnf, 0.517974, 14
Benchmarks/Blasted_Real/blasted_case59_1.cnf, 0.549746, 21
Benchmarks/Blasted_Real/blasted_case59.cnf, 0.549746, 21
Benchmarks/Blasted_Real/blasted_case64.cnf, 0.539514, 23
Benchmarks/Blasted_Real/blasted_case58.cnf, 0.544539, 23
Benchmarks/Blasted_Real/blasted_case63.cnf, 0.529369, 23
Benchmarks/Blasted_Real/blasted_case4.cnf, 0.50988, 22
Benchmarks/Blasted_Real/blasted_case11.cnf, 0.427655, 17
Benchmarks/Blasted_Real/blasted_case43.cnf, 0.365935, 9
Benchmarks/Blasted_Real/blasted_case45.cnf, 0.365935, 9
Benchmarks/Blasted_Real/blasted_case7.cnf, 0.574963, 19
Benchmarks/Blasted_Real/blasted_case47.cnf, 0.569105, 22
Benchmarks/Blasted_Real/blasted_case21.cnf, 0.460221, 13
Benchmarks/Blasted_Real/blasted_case22.cnf, 0.469662, 13
Benchmarks/Blasted_Real/blasted_case51.cnf, 0.534043, 7
Benchmarks/Blasted_Real/blasted_case52.cnf, 0.534043, 7
Benchmarks/Blasted_Real/blasted_case53.cnf, 0.534043, 7
Benchmarks/Blasted_Real/blasted_case124.cnf, 0.55623, 27
Benchmarks/Blasted_Real/blasted_case112.cnf, 0.315022, 9
Benchmarks/Blasted_Real/blasted_case38.cnf, 0.368165, 7
Benchmarks/Blasted_Real/blasted_case55.cnf, 0.477117, 33
Benchmarks/Blasted_Real/blasted_case8.cnf, 0.54781, 29
Benchmarks/Blasted_Real/blasted_case105.cnf, 0.580392, 39
Benchmarks/Blasted_Real/blasted_case44.cnf, 0.38598, 17
Benchmarks/Blasted_Real/blasted_case46.cnf, 0.363663, 19
Benchmarks/Blasted_Real/blasted_case5.cnf, 0.533335, 39
Benchmarks/Blasted_Real/blasted_case68.cnf, 0.509952, 39
Benchmarks/Blasted_Real/blasted_case1.cnf, 0.45545, 16
Benchmarks/V3/s344_3_2.cnf, 0.523292, 48
Benchmarks/V3/s349_3_2.cnf, 0.568045, 39
Benchmarks/Blasted_Real/blasted_case201.cnf, 0.558338, 22
Benchmarks/Blasted_Real/blasted_case202.cnf, 0.558338, 22
Benchmarks/Blasted_Real/blasted_case56.cnf, 0.237003, 14
Benchmarks/Blasted_Real/blasted_case54.cnf, 0.237003, 14
Benchmarks/Blasted_Real/blasted_case106.cnf, 0.562859, 56
Benchmarks/Blasted_Real/blasted_case108.cnf, 0.413923, 15
Benchmarks/V3/s298_3_2.cnf, 0.477612, 49
Benchmarks/Blasted_Real/blasted_case133.cnf, 0.562175, 52
