file, #v, #vu, #vf, #c-u, #c2, #v2, #c3, #v3, #c4, #v4, #c5, #v5
cnf/lagniez/BayesianNetwork/Ace/blockmap_05_01.net.cnf, 1411, 364, 1, 2373, 2070, 1039, 303, 564, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_05_02.net.cnf, 1738, 386, 2, 3066, 2642, 1330, 424, 784, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_05_03.net.cnf, 2055, 408, 3, 3735, 3192, 1608, 543, 1007, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_10_01.net.cnf, 11328, 2488, 0, 20687, 17616, 8815, 3071, 5468, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_10_02.net.cnf, 12562, 2528, 0, 23494, 19934, 9980, 3560, 6332, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_10_03.net.cnf, 13786, 2574, 3, 26252, 22217, 11128, 4035, 7183, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_15_01.net.cnf, 33035, 7548, 1, 59876, 50880, 25449, 8996, 16238, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_15_02.net.cnf, 35386, 7610, 2, 65256, 55350, 27694, 9906, 17867, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_15_03.net.cnf, 37709, 7672, 3, 70567, 59762, 29908, 10805, 19490, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_20_01.net.cnf, 78650, 19116, 1, 140939, 118939, 59481, 22000, 39099, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_20_02.net.cnf, 82786, 19432, 2, 149983, 126450, 63248, 23533, 41814, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_20_03.net.cnf, 86889, 19744, 3, 158938, 133882, 66977, 25056, 44522, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_22_01.net.cnf, 108698, 24804, 1, 199204, 167645, 83835, 31559, 55627, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_22_02.net.cnf, 113870, 25160, 2, 210641, 177134, 88592, 33507, 59053, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/blockmap_22_03.net.cnf, 119003, 25512, 3, 221974, 186532, 93305, 35442, 62469, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-01.net.cnf, 32, 10, 2, 28, 20, 14, 8, 18, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-07.net.cnf, 3710, 322, 98, 5740, 3962, 2240, 1778, 3241, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-10.net.cnf, 10220, 640, 200, 16480, 11360, 6350, 5120, 9280, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-13.net.cnf, 21788, 1066, 338, 35932, 24752, 13754, 11180, 20215, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-16.net.cnf, 39872, 1600, 512, 66688, 45920, 25424, 20768, 37504, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-19.net.cnf, 65930, 2242, 722, 111340, 76646, 42332, 34694, 62605, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-22.net.cnf, 101420, 2992, 968, 172480, 118712, 65450, 53768, 96976, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-25.net.cnf, 147800, 3850, 1250, 252700, 173900, 95750, 78800, 142075, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-28.net.cnf, 206528, 4816, 1568, 354592, 243992, 134204, 110600, 199360, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/fs-29.net.cnf, 229100, 5162, 1682, 393820, 270976, 149002, 122844, 221415, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/mastermind_03_08_04.net.cnf, 4720, 0, 0, 10904, 9152, 4684, 1752, 3044, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/mastermind_03_08_05.net.cnf, 7564, 0, 0, 17674, 14768, 7519, 2906, 5067, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/mastermind_04_08_04.net.cnf, 5484, 0, 0, 12580, 10428, 5340, 2152, 3680, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/mastermind_05_08_03.net.cnf, 3502, 0, 0, 7800, 6410, 3313, 1390, 2343, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/mastermind_06_08_03.net.cnf, 3979, 0, 0, 8817, 7175, 3709, 1642, 2748, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/Ace/mastermind_10_08_03.net.cnf, 5887, 0, 0, 12885, 10235, 5293, 2650, 4368, 0, 0, 0, 0
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-10.cnf, 200, 0, 1, 500, 400, 199, 0, 0, 0, 0, 100, 199
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-10.cnf, 200, 26, 1, 394, 300, 172, 14, 40, 36, 98, 44, 117
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-20.cnf, 200, 75, 2, 230, 169, 121, 32, 66, 27, 67, 2, 10
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-30.cnf, 200, 95, 3, 178, 130, 100, 36, 68, 12, 39, 0, 0
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-40.cnf, 200, 127, 5, 102, 81, 67, 17, 35, 4, 15, 0, 0
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-50.cnf, 200, 135, 3, 100, 84, 61, 11, 27, 5, 18, 0, 0
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-60.cnf, 200, 162, 5, 42, 37, 32, 4, 10, 1, 4, 0, 0
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-1.cnf, 200, 0, 1, 500, 400, 199, 0, 0, 0, 0, 100, 199
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-10.cnf, 200, 34, 1, 362, 274, 165, 15, 40, 48, 116, 25, 83
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-20.cnf, 200, 78, 1, 233, 172, 121, 38, 75, 19, 56, 4, 17
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-30.cnf, 200, 100, 1, 177, 144, 99, 18, 40, 12, 35, 3, 14
