file, #v, #vu, #vf, #c-u, #c2, #v2, #c3, #v3, #c4, #v4, #c5, #v5
Benchmarks/Blasted_Real/blasted_case200.cnf, 14, 3, 0, 26, 12, 9, 14, 9, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case206.cnf, 14, 3, 0, 26, 12, 9, 14, 9, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case60.cnf, 15, 3, 0, 23, 10, 9, 13, 10, 0, 0, 0, 0
Benchmarks/V15/s27_new_15_7.cnf, 17, 3, 0, 22, 17, 14, 5, 10, 0, 0, 0, 0
Benchmarks/V3/s27_new_3_2.cnf, 17, 3, 0, 22, 17, 14, 5, 10, 0, 0, 0, 0
Benchmarks/V7/s27_new_7_4.cnf, 17, 3, 0, 22, 17, 14, 5, 10, 0, 0, 0, 0
Benchmarks/V3/s27_3_2.cnf, 20, 3, 0, 34, 26, 17, 8, 15, 0, 0, 0, 0
Benchmarks/V7/s27_7_4.cnf, 24, 7, 0, 42, 34, 17, 8, 15, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case103.cnf, 32, 3, 0, 68, 24, 18, 44, 27, 0, 0, 0, 0
Benchmarks/V15/s27_15_7.cnf, 32, 15, 0, 58, 50, 17, 8, 15, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case102.cnf, 34, 5, 0, 68, 24, 18, 44, 27, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case127.cnf, 36, 3, 0, 80, 44, 28, 36, 27, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case128.cnf, 36, 3, 0, 80, 44, 28, 36, 27, 0, 0, 0, 0
Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 45, 7, 2, 75, 57, 36, 11, 24, 4, 13, 2, 10
Benchmarks/Blasted_Real/blasted_case28.cnf, 51, 4, 0, 109, 56, 39, 53, 39, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case33.cnf, 51, 4, 0, 109, 56, 39, 53, 39, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case27.cnf, 52, 5, 0, 109, 56, 39, 53, 39, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case32.cnf, 52, 5, 0, 109, 56, 39, 53, 39, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case26.cnf, 53, 6, 0, 109, 56, 39, 53, 39, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case31.cnf, 53, 6, 0, 109, 56, 39, 53, 39, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case134.cnf, 60, 3, 0, 100, 72, 55, 28, 37, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case137.cnf, 60, 3, 0, 100, 72, 55, 28, 37, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case36.cnf, 64, 5, 0, 143, 74, 52, 69, 34, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case24.cnf, 65, 3, 0, 153, 70, 55, 83, 61, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case29.cnf, 65, 3, 0, 153, 70, 55, 83, 61, 0, 0, 0, 0
Benchmarks/tutorial1.sk_1_1.cnf, 67, 66, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case25.cnf, 68, 3, 0, 159, 82, 58, 77, 64, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case30.cnf, 68, 3, 0, 159, 82, 58, 77, 64, 0, 0, 0, 0
