file, cost
Benchmarks/Blasted_Real/blasted_case206.cnf, 6
Benchmarks/Blasted_Real/blasted_case200.cnf, 6
Benchmarks/Blasted_Real/blasted_case60.cnf, 3
Benchmarks/V15/s27_new_15_7.cnf, 1
Benchmarks/V3/s27_new_3_2.cnf, 3
Benchmarks/V7/s27_new_7_4.cnf, 3
Benchmarks/V3/s27_3_2.cnf, 2
Benchmarks/V7/s27_7_4.cnf, 3
Benchmarks/V15/s27_15_7.cnf, 2
Benchmarks/Blasted_Real/blasted_case103.cnf, 5
Benchmarks/Blasted_Real/blasted_case102.cnf, 5
Benchmarks/Blasted_Real/blasted_case127.cnf, 7
Benchmarks/Blasted_Real/blasted_case128.cnf, 7
Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 3
Benchmarks/Blasted_Real/blasted_case28.cnf, 7
Benchmarks/Blasted_Real/blasted_case33.cnf, 7
Benchmarks/Blasted_Real/blasted_case27.cnf, 7
Benchmarks/Blasted_Real/blasted_case32.cnf, 7
Benchmarks/Blasted_Real/blasted_case26.cnf, 6
Benchmarks/Blasted_Real/blasted_case31.cnf, 6
Benchmarks/Blasted_Real/blasted_case134.cnf, 2
Benchmarks/Blasted_Real/blasted_case137.cnf, 2
Benchmarks/Blasted_Real/blasted_case24.cnf, 8
Benchmarks/Blasted_Real/blasted_case36.cnf, 7
Benchmarks/Blasted_Real/blasted_case29.cnf, 8
Benchmarks/tutorial1.sk_1_1.cnf, 0
Benchmarks/Blasted_Real/blasted_case25.cnf, 9
Benchmarks/Blasted_Real/blasted_case100.cnf, 2
Benchmarks/Blasted_Real/blasted_case30.cnf, 9
Benchmarks/Blasted_Real/blasted_case101.cnf, 2
Benchmarks/Blasted_Real/blasted_case17.cnf, 5
Benchmarks/Blasted_Real/blasted_case23.cnf, 5
Benchmarks/Blasted_Real/blasted_case59_1.cnf, 7
Benchmarks/Blasted_Real/blasted_case59.cnf, 7
Benchmarks/Blasted_Real/blasted_case64.cnf, 7
Benchmarks/Blasted_Real/blasted_case58.cnf, 6
Benchmarks/Blasted_Real/blasted_case63.cnf, 6
Benchmarks/Blasted_Real/blasted_case4.cnf, 8
