file, #v, #c, #l
r75k3q0.8/34.2.cnf, 75, 34, 102
r75k3q0.8/67.1.cnf, 75, 67, 201
r75k3q0.8/87.1.cnf, 75, 87, 261
r75k3q0.8/68.5.cnf, 75, 68, 204
r75k3q0.8/60.3.cnf, 75, 60, 180
r75k3q0.8/70.4.cnf, 75, 70, 210
r75k3q0.8/158.2.cnf, 75, 158, 474
r75k3q0.8/12.2.cnf, 75, 12, 36
r75k3q0.8/31.4.cnf, 75, 31, 93
r75k3q0.8/107.2.cnf, 75, 107, 321
r75k3q0.8/107.5.cnf, 75, 107, 321
r75k3q0.8/153.3.cnf, 75, 153, 459
r75k3q0.8/6.2.cnf, 75, 6, 18
r75k3q0.8/89.4.cnf, 75, 89, 267
r75k3q0.8/8.3.cnf, 75, 8, 24
r75k3q0.8/137.5.cnf, 75, 137, 411
r75k3q0.8/106.3.cnf, 75, 106, 318
r75k3q0.8/102.5.cnf, 75, 102, 306
r75k3q0.8/79.5.cnf, 75, 79, 237
r75k3q0.8/212.5.cnf, 75, 212, 636
r75k3q0.8/233.2.cnf, 75, 233, 699
r75k3q0.8/189.1.cnf, 75, 189, 567
r75k3q0.8/57.1.cnf, 75, 57, 171
r75k3q0.8/102.4.cnf, 75, 102, 306
r75k3q0.8/229.2.cnf, 75, 229, 687
r75k3q0.8/34.4.cnf, 75, 34, 102
r75k3q0.8/279.2.cnf, 75, 279, 837
r75k3q0.8/238.4.cnf, 75, 238, 714
r75k3q0.8/7.3.cnf, 75, 7, 21
r75k3q0.8/49.4.cnf, 75, 49, 147
r75k3q0.8/42.5.cnf, 75, 42, 126
r75k3q0.8/102.1.cnf, 75, 102, 306
r75k3q0.8/178.4.cnf, 75, 178, 534
r75k3q0.8/188.5.cnf, 75, 188, 564
r75k3q0.8/105.1.cnf, 75, 105, 315
r75k3q0.8/134.2.cnf, 75, 134, 402
r75k3q0.8/29.2.cnf, 75, 29, 87
r75k3q0.8/192.4.cnf, 75, 192, 576
r75k3q0.8/109.2.cnf, 75, 109, 327
r75k3q0.8/33.5.cnf, 75, 33, 99
r75k3q0.8/43.1.cnf, 75, 43, 129
r75k3q0.8/157.3.cnf, 75, 157, 471
r75k3q0.8/157.1.cnf, 75, 157, 471
r75k3q0.8/196.4.cnf, 75, 196, 588
r75k3q0.8/155.2.cnf, 75, 155, 465
r75k3q0.8/12.4.cnf, 75, 12, 36
r75k3q0.8/93.2.cnf, 75, 93, 279
r75k3q0.8/80.1.cnf, 75, 80, 240
r75k3q0.8/44.3.cnf, 75, 44, 132
r75k3q0.8/221.5.cnf, 75, 221, 663
r75k3q0.8/256.3.cnf, 75, 256, 768
r75k3q0.8/149.3.cnf, 75, 149, 447
r75k3q0.8/37.2.cnf, 75, 37, 111
r75k3q0.8/230.3.cnf, 75, 230, 690
r75k3q0.8/152.4.cnf, 75, 152, 456
r75k3q0.8/135.4.cnf, 75, 135, 405
r75k3q0.8/73.5.cnf, 75, 73, 219
r75k3q0.8/257.2.cnf, 75, 257, 771
r75k3q0.8/184.3.cnf, 75, 184, 552
r75k3q0.8/26.5.cnf, 75, 26, 78
r75k3q0.8/161.2.cnf, 75, 161, 483
r75k3q0.8/148.3.cnf, 75, 148, 444
r75k3q0.8/286.1.cnf, 75, 286, 858
r75k3q0.8/114.2.cnf, 75, 114, 342
r75k3q0.8/93.5.cnf, 75, 93, 279
r75k3q0.8/180.2.cnf, 75, 180, 540
r75k3q0.8/19.5.cnf, 75, 19, 57
r75k3q0.8/193.4.cnf, 75, 193, 579
r75k3q0.8/141.3.cnf, 75, 141, 423
r75k3q0.8/21.5.cnf, 75, 21, 63
r75k3q0.8/212.1.cnf, 75, 212, 636
r75k3q0.8/280.4.cnf, 75, 280, 840
r75k3q0.8/229.4.cnf, 75, 229, 687
r75k3q0.8/135.5.cnf, 75, 135, 405
r75k3q0.8/201.4.cnf, 75, 201, 603
r75k3q0.8/223.2.cnf, 75, 223, 669
r75k3q0.8/66.5.cnf, 75, 66, 198
r75k3q0.8/89.5.cnf, 75, 89, 267
r75k3q0.8/78.2.cnf, 75, 78, 234
r75k3q0.8/197.4.cnf, 75, 197, 591
r75k3q0.8/204.5.cnf, 75, 204, 612
r75k3q0.8/133.3.cnf, 75, 133, 399
r75k3q0.8/199.1.cnf, 75, 199, 597
r75k3q0.8/6.5.cnf, 75, 6, 18
r75k3q0.8/130.1.cnf, 75, 130, 390
r75k3q0.8/169.2.cnf, 75, 169, 507
r75k3q0.8/56.3.cnf, 75, 56, 168
r75k3q0.8/81.4.cnf, 75, 81, 243
r75k3q0.8/111.2.cnf, 75, 111, 333
r75k3q0.8/250.3.cnf, 75, 250, 750
r75k3q0.8/48.2.cnf, 75, 48, 144
r75k3q0.8/52.2.cnf, 75, 52, 156
r75k3q0.8/234.2.cnf, 75, 234, 702
r75k3q0.8/95.4.cnf, 75, 95, 285
r75k3q0.8/105.2.cnf, 75, 105, 315
r75k3q0.8/27.2.cnf, 75, 27, 81
r75k3q0.8/139.5.cnf, 75, 139, 417
r75k3q0.8/213.3.cnf, 75, 213, 639
r75k3q0.8/258.3.cnf, 75, 258, 774
r75k3q0.8/55.1.cnf, 75, 55, 165
r75k3q0.8/292.2.cnf, 75, 292, 876
r75k3q0.8/154.4.cnf, 75, 154, 462
r75k3q0.8/243.3.cnf, 75, 243, 729
r75k3q0.8/22.3.cnf, 75, 22, 66
r75k3q0.8/220.2.cnf, 75, 220, 660
r75k3q0.8/27.3.cnf, 75, 27, 81
r75k3q0.8/28.3.cnf, 75, 28, 84
r75k3q0.8/103.4.cnf, 75, 103, 309
r75k3q0.8/241.5.cnf, 75, 241, 723
r75k3q0.8/130.3.cnf, 75, 130, 390
r75k3q0.8/107.4.cnf, 75, 107, 321
r75k3q0.8/105.4.cnf, 75, 105, 315
r75k3q0.8/138.1.cnf, 75, 138, 414
r75k3q0.8/123.5.cnf, 75, 123, 369
r75k3q0.8/2.1.cnf, 75, 2, 6
r75k3q0.8/236.1.cnf, 75, 236, 708
r75k3q0.8/34.3.cnf, 75, 34, 102
r75k3q0.8/120.3.cnf, 75, 120, 360
r75k3q0.8/194.1.cnf, 75, 194, 582
r75k3q0.8/90.2.cnf, 75, 90, 270
r75k3q0.8/163.3.cnf, 75, 163, 489
r75k3q0.8/72.1.cnf, 75, 72, 216
r75k3q0.8/100.1.cnf, 75, 100, 300
r75k3q0.8/34.1.cnf, 75, 34, 102
r75k3q0.8/6.4.cnf, 75, 6, 18
r75k3q0.8/31.3.cnf, 75, 31, 93
r75k3q0.8/117.5.cnf, 75, 117, 351
r75k3q0.8/193.5.cnf, 75, 193, 579
r75k3q0.8/26.1.cnf, 75, 26, 78
r75k3q0.8/37.5.cnf, 75, 37, 111
r75k3q0.8/129.4.cnf, 75, 129, 387
