file, Z, nbv, nbc
Benchmarks/Blasted_Real/blasted_case128.cnf, 5.00000000, 3, 4
Benchmarks/V3/s27_new_3_2.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case206.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case60.cnf, 5.00000000, 3, 4
Benchmarks/V7/s27_new_7_4.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case103.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case200.cnf, 5.00000000, 3, 4
Benchmarks/V7/s27_7_4.cnf, 8.00000000, 3, 1
Benchmarks/V15/s27_15_7.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case127.cnf, 5.00000000, 3, 4
Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case28.cnf, 5.00000000, 3, 4
Benchmarks/V3/s27_3_2.cnf, 8.00000000, 3, 1
Benchmarks/V15/s27_new_15_7.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case102.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case27.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case33.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case137.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case134.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case31.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case32.cnf, 5.00000000, 3, 4
Benchmarks/tutorial1.sk_1_1.cnf, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case36.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case26.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case24.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case29.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case101.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case25.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case17.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case30.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case100.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case23.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case58.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case59.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case63.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case59_1.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case43.cnf, 0, 31, 93
Benchmarks/Blasted_Real/blasted_case64.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case4.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case45.cnf, 0, 31, 93
Benchmarks/Blasted_Real/blasted_case47.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case53.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case124.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case7.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case51.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case11.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case21.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case52.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case46.cnf, 0, 58, 174
Benchmarks/Blasted_Real/blasted_case22.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case44.cnf, 0, 36, 108
Benchmarks/Blasted_Real/blasted_case112.cnf, 0, 81, 243
Benchmarks/Blasted_Real/blasted_case105.cnf, 5.00000000, 3, 4
Benchmarks/V3/s344_3_2.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case8.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case55.cnf, 5.00000000, 3, 4
Benchmarks/V3/s349_3_2.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case56.cnf, 0, 49, 147
Benchmarks/Blasted_Real/blasted_case5.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case1.cnf, 0, 81, 243
Benchmarks/Blasted_Real/blasted_case54.cnf, 0, 65, 195
Benchmarks/V3/s298_3_2.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case108.cnf, 0, 61, 183
Benchmarks/Blasted_Real/blasted_case136.cnf, 5.00000000, 3, 4
Benchmarks/V7/s344_7_4.cnf, 0, 8, 24
Benchmarks/V7/s298_7_4.cnf, 0, 8, 24
Benchmarks/Blasted_Real/blasted_case133.cnf, 5.00000000, 3, 4
Benchmarks/V7/s349_7_4.cnf, 0, 8, 24
Benchmarks/Blasted_Real/blasted_case106.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case68.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case38.cnf, 4.00000000, 69, 203
Benchmarks/Blasted_Real/blasted_case201.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case145.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case202.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case109.cnf, 0, 60, 180
Benchmarks/Blasted_Real/blasted_case146.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case204.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case119.cnf, 1.00000000, 48, 143
Benchmarks/Blasted_Real/blasted_case203.cnf, 5.00000000, 3, 4
Benchmarks/V3/s382_3_2.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case205.cnf, 5.00000000, 3, 4
Benchmarks/V7/s382_7_4.cnf, 0, 8, 24
Benchmarks/Blasted_Real/blasted_case132.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case135.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case14.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case_1_b14_1.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case_3_b14_1.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case_2_b14_1.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case120.cnf, 0, 56, 168
Benchmarks/Blasted_Real/blasted_case39.cnf, 5.00000000, 3, 4
Benchmarks/V15/s344_15_7.cnf, 0, 8, 24
Benchmarks/Blasted_Real/blasted_case40.cnf, 5.00000000, 3, 4
Benchmarks/V15/s349_15_7.cnf, 0, 8, 24
Benchmarks/V15/s298_15_7.cnf, 0, 8, 24
Benchmarks/V3/s444_3_2.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case41.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case_1_b14_2.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case9.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case_2_b14_2.cnf, 5.00000000, 3, 4
Benchmarks/V3/s420_3_2.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case_3_b14_2.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case61.cnf, 5.00000000, 3, 4
Benchmarks/V3/s420_new1_3_2.cnf, 8.00000000, 3, 1
Benchmarks/V3/s420_new_3_2.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case3.cnf, 0, 88, 264
Benchmarks/V7/s444_7_4.cnf, 0, 8, 24
Benchmarks/Blasted_Real/blasted_case2.cnf, 0, 73, 219
Benchmarks/V7/s420_7_4.cnf, 0, 12, 36
Benchmarks/V7/s420_new1_7_4.cnf, 0, 12, 36
Benchmarks/V3/s510_3_2.cnf, 8.00000000, 3, 1
Benchmarks/Blasted_Real/blasted_case_1_b14_3.cnf, 5.00000000, 3, 4
Benchmarks/polynomial.sk_7_25.cnf, 0, 35, 105
Benchmarks/Blasted_Real/blasted_case_2_b14_3.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case15.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf, 5.00000000, 3, 4
Benchmarks/V7/s510_7_4.cnf, 0, 12, 36
Benchmarks/Blasted_Real/blasted_case123.cnf, 5.00000000, 3, 4
Benchmarks/V15/s510_15_7.cnf, 0, 8, 24
Benchmarks/V7/s420_new_7_4.cnf, 0, 19, 57
Benchmarks/V15/s382_15_7.cnf, 0, 12, 36
Benchmarks/V15/s420_new_15_7.cnf, 0, 34, 102
Benchmarks/V15/s420_15_7.cnf, 0, 23, 69
Benchmarks/V15/s420_new1_15_7.cnf, 0, 23, 69
Benchmarks/Blasted_Real/blasted_case121.cnf, 5.00000000, 3, 4
Benchmarks/registerlesSwap.sk_3_10.cnf, 0, 39, 117
Benchmarks/Blasted_Real/blasted_case6.cnf, 5.00000000, 3, 4
Benchmarks/Blasted_Real/blasted_case10.cnf, 5.00000000, 3, 4
Benchmarks/V3/s526_3_2.cnf, 8.00000000, 3, 1
Benchmarks/V7/s526a_7_4.cnf, 0, 8, 24
Benchmarks/V7/s526_7_4.cnf, 0, 12, 36
Benchmarks/Blasted_Real/blasted_case_0_b11_1.cnf, 5.00000000, 3, 4
Benchmarks/V15/s444_15_7.cnf, 0, 35, 105
