file, tw
Benchmarks/V7/s27_new_7_4.cnf, 3
Benchmarks/Blasted_Real/blasted_case200.cnf, 4
Benchmarks/Blasted_Real/blasted_case206.cnf, 4
Benchmarks/Blasted_Real/blasted_case60.cnf, 3
Benchmarks/V15/s27_new_15_7.cnf, 3
Benchmarks/V3/s27_new_3_2.cnf, 3
Benchmarks/V3/s27_3_2.cnf, 3
Benchmarks/V7/s27_7_4.cnf, 3
Benchmarks/Blasted_Real/blasted_case103.cnf, 4
Benchmarks/V15/s27_15_7.cnf, 3
Benchmarks/Blasted_Real/blasted_case102.cnf, 4
Benchmarks/Blasted_Real/blasted_case127.cnf, 6
Benchmarks/Blasted_Real/blasted_case128.cnf, 6
Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 5
Benchmarks/Blasted_Real/blasted_case28.cnf, 6
Benchmarks/Blasted_Real/blasted_case33.cnf, 6
Benchmarks/Blasted_Real/blasted_case27.cnf, 6
Benchmarks/Blasted_Real/blasted_case32.cnf, 6
Benchmarks/Blasted_Real/blasted_case26.cnf, 6
Benchmarks/Blasted_Real/blasted_case31.cnf, 6
Benchmarks/Blasted_Real/blasted_case134.cnf, 3
Benchmarks/Blasted_Real/blasted_case137.cnf, 3
Benchmarks/Blasted_Real/blasted_case36.cnf, 6
Benchmarks/Blasted_Real/blasted_case24.cnf, 9
Benchmarks/Blasted_Real/blasted_case29.cnf, 9
Benchmarks/tutorial1.sk_1_1.cnf, 0
Benchmarks/Blasted_Real/blasted_case25.cnf, 10
Benchmarks/Blasted_Real/blasted_case30.cnf, 10
Benchmarks/Blasted_Real/blasted_case100.cnf, 4
Benchmarks/Blasted_Real/blasted_case101.cnf, 4
Benchmarks/V3/s344_3_2.cnf, 7
Benchmarks/V3/s349_3_2.cnf, 7
Benchmarks/Blasted_Real/blasted_case17.cnf, 6
Benchmarks/Blasted_Real/blasted_case23.cnf, 6
Benchmarks/Blasted_Real/blasted_case59_1.cnf, 6
Benchmarks/Blasted_Real/blasted_case59.cnf, 6
Benchmarks/Blasted_Real/blasted_case64.cnf, 6
Benchmarks/Blasted_Real/blasted_case63.cnf, 6
Benchmarks/Blasted_Real/blasted_case4.cnf, 8
Benchmarks/Blasted_Real/blasted_case11.cnf, 11
Benchmarks/V3/s298_3_2.cnf, 10
Benchmarks/Blasted_Real/blasted_case58.cnf, 6
Benchmarks/Blasted_Real/blasted_case43.cnf, 12
Benchmarks/Blasted_Real/blasted_case7.cnf, 7
Benchmarks/Blasted_Real/blasted_case45.cnf, 12
Benchmarks/Blasted_Real/blasted_case47.cnf, 7
Benchmarks/Blasted_Real/blasted_case21.cnf, 9
Benchmarks/Blasted_Real/blasted_case22.cnf, 9
Benchmarks/Blasted_Real/blasted_case51.cnf, 15
Benchmarks/Blasted_Real/blasted_case53.cnf, 15
Benchmarks/Blasted_Real/blasted_case124.cnf, 8
Benchmarks/V7/s344_7_4.cnf, 9
Benchmarks/Blasted_Real/blasted_case52.cnf, 15
Benchmarks/Blasted_Real/blasted_case112.cnf, 13
Benchmarks/V7/s298_7_4.cnf, 11
Benchmarks/V7/s349_7_4.cnf, 9
Benchmarks/V3/s382_3_2.cnf, 11
